ObjectName,x_pos,y_pos,z_pos,w_qua,x_qua,y_qua,z_qua
Wall_C_23,-23.600000381469727,106.69999694824219,-0.6800000071525574,1.0,-0.0,0.0,0.0
Wall_C_24,-24.69999885559082,106.69999694824219,-0.6800000071525574,1.0,-0.0,0.0,0.0
Wall_C_25,-26.899999618530273,106.69999694824219,-1.7799999713897705,1.0,-0.0,0.0,0.0
Wall_C_26,-25.799999237060547,106.69999694824219,-1.7799999713897705,1.0,-0.0,0.0,0.0
Wall_C_27,-25.799999237060547,106.69999694824219,-2.879999876022339,1.0,-0.0,0.0,0.0
Wall_C_28,-26.899999618530273,106.69999694824219,-2.879999876022339,1.0,-0.0,0.0,0.0
Wall_C_29,-24.69999885559082,106.69999694824219,-1.7799999713897705,1.0,-0.0,0.0,0.0
Wall_C_30,-23.600000381469727,106.69999694824219,-1.7799999713897705,1.0,-0.0,0.0,0.0
Wall_C_31,-23.600000381469727,106.69999694824219,-2.879999876022339,1.0,-0.0,0.0,0.0
Wall_C_32,-24.69999885559082,106.69999694824219,-2.879999876022339,1.0,-0.0,0.0,0.0
SM_CineCam_0_ExternalCamera,-19.096784591674805,91.99156188964844,-1.8948968648910522,0.07742613554000854,-0.006005004979670048,0.07953768223524094,-0.9938022494316101
MatineeCam_SM_1_ExternalCamera,-19.104400634765625,92.04019927978516,-1.9112765789031982,0.647975742816925,0.060487814247608185,-0.05199545621871948,0.7574728727340698
MatineeCam_SM_2_ExternalCamera,-19.104400634765625,92.04019927978516,-1.9112765789031982,0.647975742816925,0.060487814247608185,-0.05199545621871948,0.7574728727340698
MatineeCam_SM_3_ExternalCamera,-19.104400634765625,92.04019927978516,-1.9112765789031982,0.647975742816925,0.060487814247608185,-0.05199545621871948,0.7574728727340698
MatineeCam_SM_4_ExternalCamera,-19.104400634765625,92.04019927978516,-1.9112765789031982,0.647975742816925,0.060487814247608185,-0.05199545621871948,0.7574728727340698
